Time, a, b, c, d, e, f, 
2025-04-19 13:20:02.158061,22.437,  21.5,21.062,20.687,21.187, 19.75,
2025-04-19 13:26:18.311167,22.437,  21.5,21.125,20.687, 21.25,19.812,
2025-04-19 13:27:23.124643,22.437,  21.5,21.125,20.687, 21.25,19.812,
2025-04-19 13:28:27.924543,22.437,21.562,21.125, 20.75,21.437,19.812,
2025-04-19 13:29:32.916575,22.437,  21.5,21.125, 20.75,21.375, 19.75,
2025-04-19 13:30:37.908524,22.437,  21.5,21.125, 20.75,21.375, 19.75,
2025-04-19 13:31:42.964501,22.437,21.437,21.125,20.687,21.375, 19.75,
2025-04-19 13:32:47.956527,22.437,21.437,21.062,20.687,21.312, 19.75,
2025-04-19 13:33:53.012530,22.437,21.437,21.062,20.687,21.312, 19.75,
2025-04-19 13:34:58.004498,22.375,21.437,21.062,20.625,21.312, 19.75,
2025-04-19 13:36:03.060487,22.375,21.375,21.062,20.625,21.312, 19.75,
2025-04-19 13:37:08.052495,22.375,21.312,21.062,20.625,21.312,19.687,
2025-04-19 13:38:13.108533,22.312,21.375,  21.0,20.625, 21.25,19.687,
2025-04-19 13:39:18.100548,22.312,21.375,  21.0,20.625, 21.25,19.687,
2025-04-19 13:40:23.156515,22.375,21.312,21.062,20.625, 21.25,19.687,
2025-04-19 13:41:28.148526,22.312,21.312,  21.0,20.562, 21.25,19.687,
2025-04-19 13:42:33.204519,22.312,21.312,  21.0,20.562, 21.25,19.625,
2025-04-19 13:43:38.196511,22.312,21.312,  21.0,20.562, 21.25,19.687,
2025-04-19 13:44:43.188501,22.312, 21.25,  21.0,20.562,21.187,19.625,
2025-04-19 13:45:48.244534,22.312,21.312,  21.0,20.562,21.187,19.625,
2025-04-19 13:46:53.300521,22.312,21.312,  21.0,20.562,21.187,19.625,
2025-04-19 13:47:58.292541,22.312,21.312,  21.0,20.562, 21.25,19.625,
2025-04-19 13:49:03.348505,22.312,21.375,  21.0,20.562,21.187,19.625,
2025-04-19 13:50:08.340490,22.312,21.375,  21.0,20.562, 21.25,19.625,
2025-04-19 13:51:13.396513,22.312,21.312,  21.0,20.562, 21.25,19.625,
2025-04-19 13:52:18.388536,22.312,21.375,  21.0,20.562, 21.25,19.625,
2025-04-19 13:53:23.444515,22.312,21.375,  21.0,20.562, 21.25,19.625,
2025-04-19 13:54:28.436539,22.312,21.375,  21.0,20.562, 21.25,19.625,
2025-04-19 13:55:33.492495,22.312,21.375,  21.0,20.562, 21.25,19.625,
2025-04-19 13:56:38.484540, 22.25,21.375,20.937,20.562, 21.25,19.625,
2025-04-19 13:57:43.540499, 22.25,21.312,20.937,20.562,21.187,19.562,
2025-04-19 13:58:48.532577, 22.25,21.312,20.937,  20.5,21.187,19.625,
2025-04-19 13:59:53.524580, 22.25,21.312,20.937,20.562,21.187,19.625,
2025-04-19 14:00:58.580540, 22.25,21.375,20.937,20.562, 21.25,19.625,
2025-04-19 14:02:03.572509, 22.25,21.375,  21.0,  20.5, 21.25,19.625,
2025-04-19 14:03:08.596506, 22.25,21.375,  21.0,  20.5,21.187,19.562,
2025-04-19 14:04:13.652559, 22.25,21.375,20.937,  20.5,21.187,19.562,
2025-04-19 14:05:18.708539, 22.25,21.375,20.937,  20.5,21.187,19.562,
2025-04-19 14:06:23.668501, 22.25, 21.25,20.937,  20.5,21.125,19.562,
2025-04-19 14:07:28.724509, 22.25, 21.25,20.937,  20.5,21.125,19.562,
2025-04-19 14:08:33.716523, 22.25, 21.25,20.875,  20.5,21.125,  19.5,
2025-04-19 14:09:38.772532, 22.25, 21.25,20.875,20.437,21.062,  19.5,
2025-04-19 14:10:43.828500,22.187, 21.25,20.875,  20.5,21.062,  19.5,
2025-04-19 14:11:48.820525,22.187,21.187,20.875,20.437,21.062,  19.5,
2025-04-19 14:12:53.876516,22.125,21.187,20.875,20.437,21.062,  19.5,
2025-04-19 14:13:58.868506,22.125,21.187,20.812,20.375,21.062,  19.5,
2025-04-19 14:15:03.924539,22.125,21.187,20.812,20.437,21.062,  19.5,
2025-04-19 14:16:08.916492,22.125,21.187,20.812,20.437,21.062,  19.5,
2025-04-19 14:17:13.972516,22.125,21.187,20.875,20.437,21.125,  19.5,
2025-04-19 14:18:18.964706,22.125,21.187,20.875,20.437,21.125,  19.5,
2025-04-19 14:19:24.020550,22.125,21.187,20.875,20.437,21.062,  19.5,
2025-04-19 14:20:29.012489,22.125,21.125,20.875,20.375,21.062,19.437,
2025-04-19 14:21:34.004489,22.062,21.062,20.812,20.375,  21.0,19.437,
2025-04-19 14:22:39.060480,22.062,21.062,20.875,20.375,  21.0,  19.5,
2025-04-19 14:23:44.116468,22.125,21.187,20.812,20.375,21.062,  19.5,
2025-04-19 14:24:49.172545,22.125,21.187,20.875,20.437,21.062,  19.5,
2025-04-19 14:25:54.164521,22.062,21.125,20.812,20.375,  21.0,19.437,
2025-04-19 14:26:59.156480,22.062,21.125,20.812,20.375,  21.0,19.375,
2025-04-19 14:28:04.148567,22.062,21.062, 20.75,20.375,20.937,19.375,
2025-04-19 14:29:09.204537,22.062,21.062, 20.75,20.312,20.937,19.375,
2025-04-19 14:30:14.260528,21.937,  21.0,20.687, 20.25,  21.0,19.312,
2025-04-19 14:31:19.252535,21.937,  21.0, 20.75,20.312,21.187,19.312,
2025-04-19 14:32:24.308555,21.937,  21.0, 20.75,20.312,  21.0, 19.25,
2025-04-19 14:33:29.300510,21.875,20.937,20.687, 20.25,21.125, 19.25,
2025-04-19 14:34:34.356528,21.875,20.937,20.687, 20.25,21.187, 19.25,
2025-04-19 14:35:39.348489,21.937,  21.0,20.687, 20.25,21.187,19.312,
2025-04-19 14:36:44.340484,21.937,20.937,20.687, 20.25,21.062, 19.25,
2025-04-19 14:37:49.396567,21.875,  21.0,20.687, 20.25,21.062, 19.25,
2025-04-19 14:38:54.453143,21.937,  21.0,20.687,20.312,  21.0, 19.25,
2025-04-19 14:39:59.444540,21.937,  21.0,20.687, 20.25,  21.0, 19.25,
2025-04-19 14:41:04.500544,21.937,  21.0,20.687,20.312,21.062,19.312,
2025-04-19 14:42:09.492536,21.875,20.937,20.625,20.187,  21.0, 19.25,
2025-04-19 14:43:14.548517,21.875,20.875,20.625,20.187,  21.0, 19.25,
2025-04-19 14:44:19.540528,21.812,20.875,20.625,20.187,21.062,19.187,
2025-04-19 14:45:24.596521,21.812,20.875,20.625,20.187,21.187,19.062,
2025-04-19 14:46:29.588526,21.812,20.812,20.625,20.125,20.562,19.062,
2025-04-19 14:47:34.644516,21.812,20.812,20.625,20.187,  20.5,19.062,
2025-04-19 14:48:39.637106,21.812,20.812,20.625,20.187,  20.5,19.062,
2025-04-19 14:49:44.628524,21.812,20.812,  20.5,20.125,  20.5,19.062,
2025-04-19 14:50:49.684533,21.812,20.812,  20.5,20.187,  20.5,19.125,
2025-04-19 14:51:54.740540,21.812,20.812,  20.5,20.125,  20.5,19.062,
2025-04-19 14:52:59.700510,21.812,20.812,20.437,20.125,  20.5,19.062,
2025-04-19 14:54:04.756536,21.812,20.812,20.437,20.125,  20.5,19.062,
2025-04-19 14:55:09.812564,21.812,20.875,  20.5,20.187,  20.5,19.125,
2025-04-19 14:56:14.804501,21.812,20.875,  20.5,20.187,  20.5,19.125,
2025-04-19 14:57:19.796501,21.812,20.875,  20.5,20.187,  20.5,19.125,
2025-04-19 14:58:24.852524,21.812,20.875,  20.5,20.187,  20.5,19.125,
2025-04-19 14:59:29.908542,21.812,20.875,  20.5,20.187,20.562,19.125,
2025-04-19 15:00:34.900541,21.812,20.875,  20.5,20.187,20.562,19.125,
2025-04-19 15:01:39.956513,21.812,20.875,  20.5,20.187,  20.5,19.125,
2025-04-19 15:02:44.948501,21.812,20.875,20.437,20.125,  20.5,19.125,
2025-04-19 15:03:49.940524,21.812,20.875,20.437,20.125,  20.5,19.125,
2025-04-19 15:04:54.996530,21.812,20.875,20.437,20.125,20.562,19.125,
2025-04-19 15:06:00.052515,21.812,20.875,  20.5,20.187,20.562,19.187,
2025-04-19 15:07:05.044552,21.812,20.875,  20.5,20.187,20.562,19.187,
2025-04-19 15:08:10.036530,21.812,20.875,  20.5,20.187,20.625,19.187,
2025-04-19 15:09:15.060512,21.812,20.937,20.562,20.187,20.625,19.187,
2025-04-19 15:10:20.116574,21.875,20.937,20.562,20.187,20.625, 19.25,
2025-04-19 15:11:25.172558,21.875,20.937,20.562,20.187,20.625, 19.25,
2025-04-19 15:12:30.164527,21.875,20.937,20.562,20.187,20.625, 19.25,
2025-04-19 15:13:35.220531,21.875,20.937,20.562,20.187,20.625, 19.25,
2025-04-19 15:14:40.212526,21.875,20.937,20.562,20.187,20.625, 19.25,
2025-04-19 15:15:45.268543,21.812,20.937,  20.5,20.187,20.625,19.187,
2025-04-19 15:16:50.260535,21.875,20.937,  20.5,20.187,20.625, 19.25,
2025-04-19 15:17:55.316529,21.812,20.937,  20.5,20.187,20.625, 19.25,
2025-04-19 15:19:00.308504,21.812,20.937,20.562,20.187,20.625, 19.25,
2025-04-19 15:20:05.364545,21.875,20.937,  20.5,20.187,20.625, 19.25,
2025-04-19 15:21:10.356520,21.875,20.937,  20.5,20.187,20.625, 19.25,
2025-04-19 15:22:15.412482,21.812,20.937,  20.5,20.187,20.625, 19.25,
2025-04-19 15:23:20.404515,21.812,20.937,  20.5,20.187,20.625,19.187,
2025-04-19 15:24:25.460552,21.875,20.937,  20.5,20.187,20.625, 19.25,
2025-04-19 15:25:30.452530,21.875,20.937,  20.5,20.187,20.625,19.187,
2025-04-19 15:26:35.508536,21.875,20.937,20.562,20.187,20.687, 19.25,
2025-04-19 15:27:40.500544,21.875,  21.0,20.562,20.187,20.687, 19.25,
2025-04-19 15:28:45.492549,21.875,  21.0,20.562,20.187,20.687, 19.25,
2025-04-19 15:29:50.548522,21.875,  21.0,20.562,20.187,20.687, 19.25,
2025-04-19 15:30:55.604501,21.875,  21.0,20.562,20.187,20.625, 19.25,
2025-04-19 15:32:00.660492,21.875,  21.0,20.562, 20.25,20.687, 19.25,
2025-04-19 15:33:05.653122,21.875,  21.0,20.562,20.187,20.687, 19.25,
2025-04-19 15:34:10.644514,21.812,  21.0,20.562,20.187,20.687, 19.25,
2025-04-19 15:35:15.700530,21.812,  21.0,20.562,20.187,20.687, 19.25,
